UF; ANO; MES; CHUVA; DENGUE
SP;2016;06;2771.5999999999863;579.0
SP;2016;07;293.9999999999994;318.0
SP;2016;08;1983.8000000000116;204.0
SP;2016;09;841.4000000000025;236.0
SP;2016;10;3399.799999999964;353.0
SP;2016;11;3347.999999999975;319.0
SP;2016;12;5189.999999999925;459.0
ES;2016;01;1852.2000000000114;14679.0
ES;2016;02;324.59999999999974;12747.0
ES;2016;03;751.600000000001;10563.0
ES;2016;04;194.3999999999999;7998.0
ES;2016;05;124.80000000000015;3325.0
ES;2016;06;433.5999999999985;817.0
ES;2016;07;322.99999999999943;714.0
ES;2016;08;170.59999999999962;515.0
ES;2016;09;310.9999999999994;460.0
ES;2016;10;832.400000000004;597.0
ES;2016;11;1923.2000000000116;807.0
ES;2016;12;1565.6000000000051;1507.0
RJ;2016;01;5050.199999999956;22100.0
RJ;2016;02;2887.199999999998;17683.0
RJ;2016;03;2244.600000000009;14387.0
RJ;2016;04;376.79999999999905;12419.0
RJ;2016;05;893.2000000000054;8099.0
RJ;2016;06;1630.0000000000136;2723.0
RJ;2016;07;177.39999999999966;1727.0
RJ;2016;08;737.8000000000012;830.0
RJ;2016;09;1053.6000000000054;542.0
RJ;2016;10;1619.0000000000148;655.0
RJ;2016;11;5455.599999999937;652.0
RJ;2016;12;3720.7999999999793;1256.0
PR;2017;01;5144.79999999995;4949.0
PR;2017;02;3264.399999999993;3456.0
PR;2017;03;2566.000000000001;3304.0
PR;2017;04;2595.6;2430.0
PR;2017;05;5021.799999999945;1424.0
PR;2017;06;2809.600000000004;875.0
PR;2017;07;128.6000000000003;900.0
PR;2017;08;2653.6;1012.0
PR;2017;09;787.000000000001;1857.0
PR;2017;10;6420.999999999938;2465.0
PR;2017;11;4184.599999999972;2388.0
PR;2017;12;5683.599999999918;2833.0
ES;2017;03;966.6000000000012;2086.0
ES;2017;04;507.7999999999979;1668.0
ES;2017;05;905.2000000000027;1038.0
ES;2017;06;666.600000000001;782.0
ES;2017;07;1043.200000000008;570.0
ES;2017;08;153.59999999999997;541.0
ES;2017;09;345.7999999999984;441.0
ES;2017;10;509.39999999999884;539.0
ES;2017;11;1838.2000000000155;432.0
ES;2017;12;2888.8000000000015;674.0
MG;2017;01;6540.399999999889;529.0
MG;2017;02;7968.79999999986;497.0
MG;2017;03;5911.199999999923;526.0
MG;2017;04;2780.399999999995;576.0
MG;2017;05;3421.999999999973;271.0
MG;2017;06;1238.6000000000045;124.0
MG;2017;07;602.4000000000007;92.0
MG;2017;08;300.7999999999993;84.0
MG;2017;09;1188.6000000000038;90.0
MG;2017;10;4080.199999999975;159.0
MG;2017;11;10669.00000000003;228.0
MG;2017;12;14828.400000000338;308.0
CE;2017;01;770.7999999999996;4304.0
CE;2017;02;1694.6000000000067;6874.0
CE;2017;03;2356.6000000000054;11215.0
CE;2017;04;1782.4000000000078;22133.0
CE;2017;05;1131.6000000000029;9646.0
CE;2017;06;444.7999999999989;4546.0
CE;2017;07;465.39999999999935;2704.0
CE;2017;08;84.20000000000002;1093.0
CE;2017;09;19.599999999999994;1438.0
CE;2017;10;101.40000000000008;1133.0
CE;2017;11;140.8;621.0
CE;2017;12;311.9999999999999;529.0
RJ;2017;01;3593.3999999999746;1894.0
RJ;2017;02;1664.6000000000079;1345.0
RJ;2017;03;2958.9999999999927;1710.0
RJ;2017;04;2114.0000000000136;1886.0
RJ;2017;05;1333.6000000000072;1291.0
RJ;2017;06;1293.2000000000064;994.0
RJ;2017;07;853.4000000000025;949.0
RJ;2017;08;923.2000000000025;487.0
RJ;2017;09;382.19999999999953;380.0
RJ;2017;10;1607.2000000000116;458.0
RJ;2017;11;3929.1999999999794;566.0
RJ;2017;12;3101.999999999995;893.0
RS;2017;01;5866.399999999928;119.0
RS;2017;02;5524.999999999934;54.0
RS;2017;03;6100.199999999918;51.0
RS;2017;04;8108.599999999847;29.0
RS;2017;05;11776.40000000009;10.0
RS;2017;06;5061.999999999916;0.0
RS;2017;07;899.600000000004;0.0
RS;2017;08;6132.799999999919;0.0
RS;2017;09;5571.999999999919;0.0
RS;2017;10;9266.599999999979;0.0
RS;2017;11;5175.399999999944;0.0
RS;2017;12;4159.999999999956;0.0
SP;2017;01;8510.999999999847;516.0
SP;2017;02;2650.399999999998;512.0
SP;2017;03;4702.799999999946;418.0
SP;2017;04;4076.5999999999517;415.0
SP;2017;05;4400.39999999995;199.0
SP;2017;06;1948.8000000000168;175.0
SP;2017;07;129.80000000000035;156.0
SP;2017;08;1920.6000000000215;204.0
SP;2017;09;868.8000000000042;347.0
SP;2017;10;5218.599999999934;383.0
SP;2017;11;7341.999999999877;219.0
SP;2017;12;7764.599999999841;194.0
ES;2017;01;258.9999999999996;2244.0
ES;2017;02;762.4000000000029;1329.0
ES;2018;01;1187.2000000000028;797.0
ES;2018;02;1952.4000000000124;857.0
ES;2018;03;1747.0000000000055;1355.0
ES;2018;04;1970.6000000000117;2344.0
ES;2018;05;1413.800000000008;2027.0
ES;2018;06;513.1999999999983;1990.0
ES;2018;07;140.8000000000001;1861.0
ES;2018;08;1028.000000000003;1221.0
ES;2018;09;362.1999999999988;954.0
ES;2018;10;1315.8000000000088;801.0
ES;2018;11;2629.599999999993;954.0
ES;2018;12;2529.399999999999;1729.0
MG;2018;01;10065.400000000047;355.0
MG;2018;02;12611.40000000012;219.0
MG;2018;03;9066.599999999897;171.0
MG;2018;04;3096.1999999999807;265.0
MG;2018;05;1431.4000000000128;102.0
MG;2018;06;480.99999999999795;43.0
MG;2018;07;293.59999999999894;30.0
MG;2018;08;2235.400000000007;26.0
MG;2018;09;2938.1999999999853;49.0
MG;2018;10;8639.999999999882;84.0
MG;2018;11;16094.600000000368;111.0
MG;2018;12;15762.20000000026;69.0
RJ;2018;01;5921.399999999938;1761.0
RJ;2018;02;4348.399999999955;2079.0
RJ;2018;03;4477.599999999963;3571.0
RJ;2018;04;2187.6000000000104;4382.0
RJ;2018;05;1471.2000000000119;1850.0
RJ;2018;06;1083.000000000008;1006.0
RJ;2018;07;797.4000000000018;864.0
RJ;2018;08;1909.0000000000168;435.0
RJ;2018;09;1909.2000000000148;397.0
RJ;2018;10;3095.1999999999803;352.0
RJ;2018;11;5465.399999999914;507.0
RJ;2018;12;3036.1999999999903;905.0
CE;2018;01;759.6000000000013;962.0
CE;2018;02;1983.0000000000093;1339.0
CE;2018;03;1542.0000000000043;1717.0
CE;2018;04;2000.2000000000085;3192.0
CE;2018;05;811.0;1265.0
CE;2018;06;174.59999999999994;932.0
CE;2018;07;363.19999999999897;1019.0
CE;2018;08;132.39999999999995;708.0
CE;2018;09;23.999999999999993;635.0
CE;2018;10;86.00000000000009;393.0
CE;2018;11;317.79999999999956;345.0
CE;2018;12;1381.6000000000024;334.0
PR;2018;01;6024.1999999999025;2747.0
PR;2018;02;2724.2000000000003;2084.0
PR;2018;03;4376.999999999951;1844.0
PR;2018;04;592.399999999999;2446.0
PR;2018;05;1129.2000000000028;1098.0
PR;2018;06;2088.600000000018;754.0
PR;2018;07;219.59999999999974;984.0
PR;2018;08;2152.800000000009;564.0
PR;2018;09;3238.1999999999844;1051.0
PR;2018;10;5534.799999999922;1099.0
PR;2018;11;2432.200000000007;1444.0
PR;2018;12;1968.4000000000087;2955.0
SP;2018;01;9322.199999999862;407.0
SP;2018;02;5156.39999999991;372.0
SP;2018;03;6245.199999999868;481.0
SP;2018;04;1605.800000000016;671.0
SP;2018;05;1054.6000000000047;562.0
SP;2018;06;930.6000000000058;311.0
SP;2018;07;479.9999999999981;273.0
SP;2018;08;2383.2000000000144;251.0
SP;2018;09;3353.399999999979;251.0
SP;2018;10;6952.599999999818;259.0
SP;2018;11;6890.199999999902;374.0
SP;2018;12;5207.1999999999425;1032.0
RS;2018;01;6684.599999999901;0.0
RS;2018;02;3221.199999999975;0.0
RS;2018;03;6457.399999999923;0.0
RS;2018;04;3473.9999999999773;0.0
RS;2018;05;4573.999999999921;0.0
RS;2018;06;4917.199999999893;0.0
RS;2018;07;6017.9999999998645;0.0
RS;2018;08;5656.999999999875;0.0
RS;2018;09;7434.799999999842;0.0
RS;2018;10;6385.399999999911;0.0
RS;2018;11;7293.399999999929;0.0
RS;2018;12;5207.399999999952;7.0
RJ;2019;01;2659.9999999999986;1422.0
RJ;2019;02;6483.599999999909;1652.0
RJ;2019;03;5905.199999999934;4247.0
RJ;2019;04;3465.7999999999697;6037.0
RJ;2019;05;3707.599999999978;7207.0
RJ;2019;06;1058.8000000000068;3903.0
RJ;2019;07;746.8000000000015;1169.0
RJ;2019;08;1793.200000000019;659.0
RJ;2019;09;2692.7999999999893;608.0
RJ;2019;10;1960.600000000016;471.0
RJ;2019;11;4604.399999999934;515.0
RJ;2019;12;4508.999999999926;776.0
SP;2019;01;6053.99999999995;6053.0
SP;2019;02;8842.599999999957;15165.0
SP;2019;03;6783.9999999998045;25134.0
SP;2019;04;4276.1999999999525;17806.0
SP;2019;05;3182.9999999999745;10306.0
SP;2019;06;1243.400000000007;3659.0
SP;2019;07;1961.200000000009;699.0
SP;2019;08;985.6000000000047;322.0
SP;2019;09;2510.799999999998;741.0
SP;2019;10;2585.399999999997;297.0
SP;2019;11;5480.199999999923;103.0
SP;2019;12;6569.199999999901;142.0
MG;2019;01;4062.7999999999665;632.0
MG;2019;02;12571.200000000172;1383.0
MG;2019;03;9871.199999999806;4402.0
MG;2019;04;6280.79999999988;9677.0
MG;2019;05;2788.999999999973;8108.0
MG;2019;06;592.200000000001;2047.0
MG;2019;07;425.79999999999797;287.0
MG;2019;08;722.6000000000042;88.0
MG;2019;09;2380.200000000004;119.0
MG;2019;10;4301.599999999962;69.0
MG;2019;11;11471.800000000074;3.0
MG;2019;12;12323.600000000159;0.0
CE;2019;01;1209.6000000000076;895.0
CE;2019;02;1844.0000000000086;1707.0
CE;2019;03;2284.8000000000006;4167.0
CE;2019;04;1694.0000000000102;5604.0
CE;2019;05;1140.200000000005;5198.0
CE;2019;06;539.5999999999995;4981.0
CE;2019;07;344.99999999999955;2693.0
CE;2019;08;66.80000000000001;2037.0
CE;2019;09;56.60000000000003;1635.0
CE;2019;10;64.20000000000003;690.0
CE;2019;11;117.80000000000007;567.0
CE;2019;12;345.39999999999964;537.0
RS;2019;01;10280.200000000039;20.0
RS;2019;02;4571.39999999996;19.0
RS;2019;03;5157.999999999933;113.0
RS;2019;04;5981.199999999901;318.0
RS;2019;05;8658.59999999989;436.0
RS;2019;06;2040.2000000000191;252.0
RS;2019;07;5741.999999999892;55.0
RS;2019;08;3544.199999999978;33.0
RS;2019;09;3235.399999999974;26.0
RS;2019;10;11955.60000000014;18.0
RS;2019;11;5579.39999999995;25.0
RS;2019;12;2873.1999999999916;40.0
PR;2019;01;4274.599999999973;3027.0
PR;2019;02;4461.599999999945;5836.0
PR;2019;03;3249.9999999999873;15295.0
PR;2019;04;2754.5999999999917;21912.0
PR;2019;05;4169.5999999999685;24737.0
PR;2019;06;1241.0000000000105;14245.0
PR;2019;07;816.6000000000015;3847.0
PR;2019;08;596.9999999999997;2472.0
PR;2019;09;1500.4000000000094;3271.0
PR;2019;10;2095.2000000000107;3442.0
PR;2019;11;3083.199999999991;5523.0
PR;2019;12;4862.999999999963;9576.0
ES;2019;01;186.00000000000009;4090.0
ES;2019;02;1543.2000000000055;5356.0
ES;2019;03;1321.0000000000048;10579.0
ES;2019;04;776.6000000000028;10332.0
ES;2019;05;1344.000000000006;14617.0
ES;2019;06;524.1999999999983;17690.0
ES;2019;07;327.1999999999982;7567.0
ES;2019;08;662.5999999999995;3462.0
ES;2019;09;696.8000000000006;2525.0
ES;2019;10;738.5999999999999;1566.0
ES;2019;11;3628.9999999999836;1537.0
ES;2019;12;1719.0000000000107;1272.0
